wallet_id,total_transaction_count,total_transaction_sum,big_transaction_count,big_transaction_sum,small_transaction_count,small_transaction_sum,from_transaction_count,from_transaction_sum,to_transaction_count,to_transaction_sum,to_unique_wallet,from_unique_wallet,from_unique_big,to_unique_big,from_unique_small,to_unique_small,classification
284184,2,155752430,2,155752430,2,155752430,0,0,0,0,0,0,0,0,0,0,Positive
284232,1,240000000,1,240000000,1,240000000,1,240000000,0,0,0,1,0,0,0,0,Positive
284235,7,17843980715,0,0,0,0,7,17843980715,0,0,0,0,0,0,0,0,Positive
284241,8,5484995040000,0,0,0,0,8,5484995040000,3,300000000000,0,0,0,0,0,0,Negative
284253,1,999995300,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
284310,1,697900000,1,697900000,1,697900000,0,0,0,0,0,1,0,0,0,0,Positive
284331,1,43010279,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Positive
284391,1,400000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
284427,2,23100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
284460,2,25243,2,25243,2,25243,0,0,0,0,0,0,0,0,0,0,Positive
284475,1,71839258,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Positive
284502,1,100000000,1,100000000,1,100000000,0,0,0,0,0,1,0,0,1,0,Positive
284522,1,2499595078,1,2499595078,1,2499595078,0,0,0,0,0,1,0,0,0,0,Positive
284610,1,13500,1,13500,1,13500,0,0,0,0,0,1,0,0,1,0,Positive
284622,1,11500,1,11500,1,11500,0,0,0,0,0,1,0,0,1,0,Positive
284670,1,14179,1,14179,1,14179,0,0,0,0,0,1,0,0,1,0,Positive
284688,1,11600,1,11600,1,11600,0,0,0,0,0,1,0,0,1,0,Positive
284811,10,579132007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
284841,1,2000000,0,0,1,2000000,0,0,0,0,1,1,0,0,1,1,Positive
284880,7,90500,7,90500,7,90500,0,0,0,0,0,1,0,0,1,0,Positive
284949,2,23604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
284955,3,39894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
284976,4,62356,4,62356,4,62356,0,0,0,0,0,0,0,0,0,0,Positive
285081,1,3500000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
285156,1,15000000000,1,15000000000,1,15000000000,0,0,0,0,0,1,0,0,0,0,Positive
285282,2,208350000000,2,208350000000,2,208350000000,0,0,0,0,1,0,0,0,0,0,Positive
285327,6,286996081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
285358,1,5000000,1,5000000,1,5000000,0,0,0,0,0,1,0,0,1,0,Positive
285414,1,44870000,1,44870000,2,89740000,0,0,0,0,1,1,0,0,1,1,Positive
285426,1,2119647541,1,2119647541,1,2119647541,0,0,0,0,0,1,0,0,0,0,Positive
285447,2,12251380000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
285477,8,1457700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
285600,10,138603302428,10,138603302428,12,138648302428,0,0,0,0,0,0,0,0,0,0,Positive
285696,6,70023,6,70023,6,70023,0,0,0,0,0,0,0,0,0,0,Positive
285729,2,34693893779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
285756,1,4490000000,1,4490000000,1,4490000000,1,4490000000,0,0,0,1,0,0,0,0,Positive
285759,1,1816138761,0,0,0,0,1,1816138761,0,0,0,1,0,0,0,0,Positive
285783,1,1545005644,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
285921,1,1518600810,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
285948,1,5118470000,1,5118470000,1,5118470000,0,0,0,0,0,1,0,0,0,0,Positive
285963,2,835883178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
285975,3,3000560252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
286038,2,24148,2,24148,2,24148,0,0,0,0,0,0,0,0,0,0,Positive
286053,2,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
286056,3,39763,3,39763,3,39763,0,0,0,0,0,0,0,0,0,0,Negative
286119,1,172230000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
286128,11,163648,11,163648,11,163648,0,0,0,0,0,0,0,0,0,0,Positive
286155,2,1977728377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
286335,3,4131540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
286416,4,3750000000,4,3750000000,4,3750000000,0,0,0,0,0,0,0,0,0,0,Positive
286464,3,109966642,3,109966642,3,109966642,0,0,0,0,0,1,0,0,1,0,Negative
286488,1,12500,1,12500,1,12500,0,0,0,0,0,1,0,0,1,0,Positive
